hip,bayer,con
88,Tau,Phe
122,The,Oct
183,Zet,Scl
677,Alp,And
746,Bet,Cas
761,Kap-1,Scl
765,Eps,Phe
814,Gam-3,Oct
930,Kap-2,Scl
950,The,Scl
1067,Gam,Peg
1168,Chi,Peg
1366,The,And
1473,Sig,And
1562,Iot,Cet
1599,Zet,Tuc
1647,Pi,Tuc
1686,Rho,And
1708,Iot,Scl
2021,Bet,Hyi
2072,Kap,Phe
2081,Alp,Phe
2210,Eta,Scl
2472,Lam-1,Phe
2484,Bet-1,Tuc
2487,Bet-2,Tuc
2505,Lam,Cas
2578,Bet-3,Tuc
2599,Kap,Cas
2629,The,Tuc
2802,Lam-2,Phe
2912,Pi,And
2920,Zet,Cas
3031,Eps,And
3092,Del,And
3179,Alp,Cas
3245,Mu,Phe
3277,Xi,Phe
3300,Xi,Cas
3330,Rho,Tuc
3356,Lam-1,Scl
3405,Eta,Phe
3414,Pi,Cas
3419,Bet,Cet
3455,Phi-1,Cet
3456,Lam-2,Scl
3504,Omi,Cas
3693,Zet,And
3781,Lam,Hyi
3786,Del,Psc
3801,Nu,Cas
3821,Eta,Cas
3881,Nu,And
3909,Phi-2,Cet
3949,Rho,Phe
4084,Lam-1,Tuc
4292,Ups-1,Cas
4293,Lam-2,Tuc
4371,Phi-3,Cet
4422,Ups-2,Cas
4427,Gam,Cas
4436,Mu,And
4463,Eta,And
4577,Alp,Scl
4587,Phi-4,Cet
4770,Xi,Scl
4829,Ome,Phe
4852,Sig,Scl
4889,Sig,Psc
4906,Eps,Psc
5131,Psi-1,Psc
5132,Psi-1,Psc
5165,Bet,Phe
5268,Iot,Tuc
5300,Ups,Phe
5310,Psi-2,Psc
5336,Mu,Cas
5348,Zet,Phe
5364,Eta,Cet
5434,Phi,And
5447,Bet,And
5454,Psi-3,Psc
5542,The,Cas
5571,Chi,Psc
5586,Tau,Psc
5737,Zet,Psc
5742,Phi,Psc
5743,Zet,Psc
5862,Nu,Phe
5896,Kap,Tuc
6193,Ups,Psc
6242,Phi,Cas
6411,Xi,And
6537,The,Cet
6686,Del,Cas
6692,Psi,Cas
6706,Rho,Psc
6813,Ome,And
6867,Gam,Phe
7007,Mu,Psc
7083,Del,Phe
7097,Eta,Psc
7294,Chi,Cas
7463,Tau,Scl
7513,Ups,And
7535,Pi,Psc
7588,Alp,Eri
7719,Chi,And
7818,Tau,And
7879,Tau-1,Hyi
7884,Nu,Psc
7955,Pi,Scl
8068,Phi,Per
8102,Tau,Cet
8198,Omi,Psc
8209,Eps,Scl
8366,Tau-2,Hyi
8497,Chi,Cet
8645,Zet,Cet
8751,Eta-1,Hyi
8796,Alp,Tri
8832,Gam-2,Ari
8833,Xi,Psc
8837,Psi,Phe
8882,Phi,Phe
8886,Eps,Cas
8903,Bet,Ari
8928,Eta-2,Hyi
8991,Sig,Hyi
9007,Chi,Eri
9009,Ome,Cas
9110,Iot,Ari
9153,Lam,Ari
9236,Alp,Hyi
9347,Ups,Cet
9440,Pi,For
9459,Chi,Phe
9487,Alp,Psc
9570,Eps,Tri
9640,Gam-1,And
9677,Nu,For
9836,Kap,Ari
9884,Alp,Ari
10064,Bet,Tri
10306,Eta,Ari
10320,Mu,For
10324,Xi-1,Cet
10418,Pi-1,Hyi
10513,Pi-2,Hyi
10602,Phi,Eri
10644,Del,Tri
10670,Gam,Tri
10732,The,Ari
10826,Omi,Cet
11001,Del,Hyi
11072,Kap,For
11095,Kap,Hyi
11249,Xi,Ari
11258,Lam,Hor
11345,Rho,Cet
11407,Kap,Eri
11477,Phi,For
11484,Xi-2,Cet
11569,Iot,Cas
11757,Mu,Hyi
11767,Alp,UMi
11783,Sig,Cet
11867,Lam-1,For
11918,Ome,For
12093,Nu,Cet
12122,Iot-1,For
12186,Lam-2,For
12225,Eta,Hor
12288,Iot-2,For
12332,Nu,Ari
12387,Del,Cet
12390,Eps,Cet
12394,Eps,Hyi
12484,Zet,Hor
12486,Iot,Eri
12640,Mu,Ari
12653,Iot,Hor
12706,Gam,Cet
12770,Pi,Cet
12777,The,Per
12803,Omi,Ari
12828,Mu,Cet
12843,Tau-1,Eri
12871,Gam,Hor
12876,Zet,Hyi
13040,Eta-1,For
13141,Nu,Hor
13147,Bet,For
13165,Pi,Ari
13197,Gam-1,For
13202,Gam-2,For
13225,Eta-2,For
13244,Nu,Hyi
13265,Eta-3,For
13268,Eta,Per
13288,Tau-2,Eri
13327,Sig,Ari
13473,Psi,For
13531,Tau,Per
13579,Rho-1,Ari
13654,Rho-2,Ari
