Messier Number	NGC/IC Number	Name	Type	Magnitude	Dimensions	RA	Dec
M1	NGC 1952	Crab Nebula	Supernova remnant	8.4	420" x 290"	05h 34m 31.9s	+22deg 00' 52.2"
M2	NGC 7089		Globular cluster	6.5	16'	21h 33m 27.0s	-00deg 49' 23.7"
M3	NGC 5272		Globular cluster	6.2	18'	13h 42m 11.6s	+28deg 22' 38.2"
M4	NGC 6121	Spider Globular Cluster	Globular cluster	5.6	26'	16h 23m 35.2s	-26deg 31' 32.7"
M5	NGC 5904	Rose Cluster	Globular cluster	5.6	23'	15h 18m 33.2s	+02deg 04' 51.7"
M6	NGC 6405	Butterfly Cluster	Open cluster	4.2	25'	17h 40.1m	-32deg 13'
M7	NGC 6475	Ptolemy's Cluster	Open cluster	3.3	80'	17h 53m 51.2s	-34deg 47' 34"
M8	NGC 6523	Lagoon Nebula	Nebula with cluster	4.6	90' x 40'	18h 03m 37s	-24deg 23' 12"
M9	NGC 6333		Globular cluster	7.7	9.3'	17h 19m 11.8s	-18deg 30' 58.5"
M10	NGC 6254		Globular cluster	6.6	20'	16h 57m 8.9s	-04deg 05' 58.1"
M11	NGC 6705	Wild Duck Cluster	Open cluster	5.8	22.8'	18h 51.1m	-06deg 16'
M12	NGC 6218		Globular cluster	6.7	16'	16h 47m 14.2s	-01deg 56' 54.7"
M13	NGC 6205	Great Hercules Cluster	Globular cluster	5.8	20'	16h 41m 41.2s	+36deg 27' 35.5"
M14	NGC 6402		Globular cluster	7.6	11'	17h 37m 36.2s	-03deg 14' 45.3"
M15	NGC 7078	Great Pegasus Cluster	Globular cluster	6.2	18'	21h 29m 58.3s	+12deg 10' 01.2"
M16	NGC 6611	Eagle Nebula	H II region nebula with cluster	6.4	70' x 50'	18h 18m 48s	-13deg 49'
M17	NGC 6618	Omega Nebula	H II region nebula with cluster	6.0	11'	18h 20m 26s	-16deg 10' 36"
M18	NGC 6613	Black Swan Cluster	Open cluster	7.5	9.8'	18h 19.9m	-17deg 08'
M19	NGC 6273		Globular cluster	6.8	17'	17h 02m 37.7s	-26deg 16' 04.6"
M20	NGC 6514	Trifid Nebula	H II region nebula with cluster	6.3	28'	18h 02m 23s	-23deg 01' 48"
M21	NGC 6531	Webb's Cross Cluster	Open cluster	6.5	14'	18h 04.6m	-22deg 30'
M22	NGC 6656	Great Sagittarius Cluster	Globular cluster	5.1	32'	18h 36m 23.9s	-23deg 54' 17.1"
M23	NGC 6494		Open cluster	5.5	35'	17h 56.8m	-19deg 01'
M24	IC 4715	Small Sagittarius Star Cloud	Milky Way star cloud	2.5	2degx1deg	18h 17m	-18deg 33'
M25	IC 4725		Open cluster	4.6	36'	18h 31.6m	-19deg 15'
M26	NGC 6694		Open cluster	8.0	14'	18h 45.2m	-09deg 24'
M27	NGC 6853	Dumbbell Nebula	Planetary nebula	7.4	8.0' x 5.6'	19h 59m 36.3s	+22deg 43' 16.1"
M28	NGC 6626		Globular cluster	6.8	11.2'	18h 24m 32.9s	-24deg 52' 11.4"
M29	NGC 6913	Cooling Tower Cluster	Open cluster	7.1	7'	20h 23m 56s	+38deg 31' 24"
M30	NGC 7099	Jellyfish Cluster	Globular cluster	7.2	12'	21h 40m 22.1s	-23deg 10' 47.5"
